"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
567,"A","567.A","malereceive",109,19,18,9.5041914333334,-13.6457435999999
567,"A","567.A","malereceive",110,20,19,63.5496464333334,-25.8600286
567,"A","567.A","malereceive",111,21,20,58.4496464333333,0.0685424000000694
567,"A","567.A","malereceive",112,22,21,177.049646433333,-22.5028856
567,"A","567.A","malereceive",113,23,22,62.2718684333333,6.06854240000007
567,"A","567.A","malereceive",114,24,23,104.827424433333,-9.36002859999996
567,"A","567.A","malereceive",115,25,24,-17.8594445666666,-2.50288560000001
567,"A","567.A","malereceive",116,26,25,82.3496464333333,-8.14574359999995
567,"A","567.A","malereceive",117,27,26,148.049646433333,27.7113994
567,"A","567.A","malereceive",118,28,27,97.0496464333334,-2.7886006
567,"A","567.A","malereceive",119,29,28,131.827424433333,28.5026084
567,"A","567.A","malereceive",120,30,29,148.271868433333,2.99711439999999
567,"B","567.B","goal",31,1,0,-107.3978436,-13.3139895666667
567,"B","567.B","goal",32,2,1,-94.8868146,-37.6776265666666
567,"B","567.B","goal",33,3,2,-98.9493146,-4.4958085666666
567,"B","567.B","goal",34,4,3,-109.8096086,-112.488815566667
567,"B","567.B","goal",35,5,4,-75.6368146,-13.6776265666666
567,"B","567.B","goal",36,6,5,-92.1993146,-66.4048985666667
567,"B","567.B","goal",37,7,6,-88.2618146,92.8496464333333
567,"B","567.B","goal",38,8,7,-105.6331386,22.0496464333334
567,"B","567.B","goal",39,9,8,-66.8409816,25.9496464333333
567,"B","567.B","goal",40,10,9,-94.8868146,43.8496464333333
567,"B","567.B","goal",41,11,10,-15.2886006,-76.3670205666666
567,"B","567.B","goal",42,12,11,-55.4493146,-31.5867175666666
567,"B","567.B","goal",43,13,12,-39.7076476,-27.5867175666666
567,"B","567.B","goal",44,14,13,-31.2171716,-49.0336865666667
567,"B","567.B","goal",45,15,14,-37.1076476,-34.4958085666666
567,"B","567.B","goal",46,16,15,-51.4409816,-24.3139895666667
567,"B","567.B","goal",47,17,16,-47.7076476,30.2314644333334
567,"B","567.B","goal",48,18,17,-59.6993146,16.9496464333333
567,"B","567.B","goal",49,19,18,-15.2886006,118.949646433333
567,"B","567.B","goal",50,20,19,-47.6409816,133.494090433333
567,"B","567.B","goal",51,21,20,-67.8409816,52.4496464333333
567,"B","567.B","goal",52,22,21,-46.2409815999999,52.4496464333333
567,"B","567.B","goal",53,23,22,-28.3076476,-4.13217156666667
567,"B","567.B","goal",54,24,23,-79.0118146,15.5041914333334
567,"B","567.B","goal",55,25,24,-78.7076476,18.6496464333334
567,"B","567.B","goal",56,26,25,-64.7743146,-17.8594445666666
567,"B","567.B","goal",57,27,26,-72.3243146,-0.350353566666627
567,"B","567.B","goal",58,28,27,-70.6409816,-10.8594445666666
567,"B","567.B","goal",59,29,28,-52.1993146,16.4132824333334
567,"B","567.B","goal",60,30,29,-45.8409816,37.8496464333333
567,"B","567.B","femalereceive",61,1,0,-91.0449026,-103.334968566667
567,"B","567.B","femalereceive",62,2,1,-65.8409816,-48.6776265666666
567,"B","567.B","femalereceive",63,3,2,-70.1368146,8.95873743333334
567,"B","567.B","femalereceive",64,4,3,-78.7618146,26.1496464333334
567,"B","567.B","femalereceive",65,5,4,-77.0409816,54.4496464333333
567,"B","567.B","femalereceive",66,6,5,45.4256854,75.0496464333334
567,"B","567.B","femalereceive",67,7,6,-10.4314575999999,68.8274244333334
567,"B","567.B","femalereceive",68,8,7,-27.2171716,1.34964643333331
567,"B","567.B","femalereceive",69,9,8,-30.4409816,50.6860104333333
567,"B","567.B","femalereceive",70,10,9,-26.8409816,33.2496464333334
567,"B","567.B","femalereceive",71,11,10,1.56854240000007,148.382979433333
567,"B","567.B","femalereceive",72,12,11,-29.6457435999999,97.8274244333334
567,"B","567.B","femalereceive",73,13,12,-18.0409816,-7.55035356666667
567,"B","567.B","femalereceive",74,14,13,-38.5743146,-6.45035356666665
567,"B","567.B","femalereceive",75,15,14,-22.9743146,-5.7503535666666
567,"B","567.B","femalereceive",76,16,15,-30.6457435999999,144.827424433333
567,"B","567.B","femalereceive",77,17,16,3.56854240000007,70.8274244333334
567,"B","567.B","femalereceive",78,18,17,9.2113994,28.1405554333334
567,"B","567.B","femalereceive",79,19,18,-9.36002859999996,40.3496464333333
567,"B","567.B","femalereceive",80,20,19,-35.5743146,33.0496464333334
567,"B","567.B","femalereceive",81,21,20,-16.9076476,55.7496464333334
567,"B","567.B","femalereceive",82,22,21,-22.7886006,58.6496464333334
567,"B","567.B","femalereceive",83,23,22,-38.3743145999999,103.494090433333
567,"B","567.B","femalereceive",84,24,23,-28.5743146,34.6496464333334
567,"B","567.B","femalereceive",85,25,24,-32.9743146,-12.6776265666666
567,"B","567.B","femalereceive",86,26,25,-6.14574359999995,37.9496464333333
567,"B","567.B","femalereceive",87,27,26,-33.1076476,-2.85944456666664
567,"B","567.B","femalereceive",88,28,27,4.13997140000004,36.7496464333334
567,"B","567.B","femalereceive",89,29,28,-19.3600286,4.41328243333339
567,"B","567.B","femalereceive",90,30,29,-21.0028856,-12.3139895666667
567,"B","567.B","malereceive",91,1,0,-31.1743146,65.6496464333334
567,"B","567.B","malereceive",92,2,1,-46.0409816,-1.15035356666669
567,"B","567.B","malereceive",93,3,2,-26.7886006,-8.35035356666663
567,"B","567.B","malereceive",94,4,3,3.28282839999997,34.5496464333334
567,"B","567.B","malereceive",95,5,4,14.3542564000001,60.0496464333334
567,"B","567.B","malereceive",96,6,5,-18.7886006,63.0496464333334
567,"B","567.B","malereceive",97,7,6,-16.7886006,132.716313433333
567,"B","567.B","malereceive",98,8,7,-29.6409816,188.827424433333
567,"B","567.B","malereceive",99,9,8,-33.3076476,91.9496464333333
567,"B","567.B","malereceive",100,10,9,-18.9314575999999,60.2496464333334
567,"B","567.B","malereceive",101,11,10,-30.1076476,41.8496464333333
567,"B","567.B","malereceive",102,12,11,-13.7171716,14.0496464333334
567,"B","567.B","malereceive",103,13,12,-9.36002859999996,30.0496464333334
567,"B","567.B","malereceive",104,14,13,-1.86002859999996,122.716313433333
567,"B","567.B","malereceive",105,15,14,-32.7743146,77.4496464333333
567,"B","567.B","malereceive",106,16,15,33.2718394,33.3496464333333
567,"B","567.B","malereceive",107,17,16,-3.71717160000003,12.8496464333333
567,"B","567.B","malereceive",108,18,17,7.2113994,-5.95035356666665
567,"B","567.B","malereceive",109,19,18,-13.6457435999999,9.5041914333334
567,"B","567.B","malereceive",110,20,19,-25.8600286,63.5496464333334
567,"B","567.B","malereceive",111,21,20,0.0685424000000694,58.4496464333333
567,"B","567.B","malereceive",112,22,21,-22.5028856,177.049646433333
567,"B","567.B","malereceive",113,23,22,6.06854240000007,62.2718684333333
567,"B","567.B","malereceive",114,24,23,-9.36002859999996,104.827424433333
567,"B","567.B","malereceive",115,25,24,-2.50288560000001,-17.8594445666666
567,"B","567.B","malereceive",116,26,25,-8.14574359999995,82.3496464333333
567,"B","567.B","malereceive",117,27,26,27.7113994,148.049646433333
567,"B","567.B","malereceive",118,28,27,-2.7886006,97.0496464333334
567,"B","567.B","malereceive",119,29,28,28.5026084,131.827424433333
567,"B","567.B","malereceive",120,30,29,2.99711439999999,148.271868433333
666,"A","666.A","goal",31,1,0,-8.72600579999994,-100.075319766667
666,"A","666.A","goal",32,2,1,-18.4402918,-30.5844107666667
666,"A","666.A","goal",33,3,2,22.7355322000001,-42.4844107666667
666,"A","666.A","goal",34,4,3,-37.6545768,-45.1844107666667
666,"A","666.A","goal",35,5,4,-15.4402918,102.015589233333
666,"A","666.A","goal",36,6,5,32.8893792,14.4600332333333
666,"A","666.A","goal",37,7,6,-4.65457679999997,-44.2844107666666
666,"A","666.A","goal",38,8,7,39.6586092000001,-25.5399667666667
666,"A","666.A","goal",39,9,8,50.9663022000001,-22.8732997666666
666,"A","666.A","goal",40,10,9,-37.6545768,-166.151077766667
666,"A","666.A","goal",41,11,10,10.9663022000001,-2.31774376666669
666,"A","666.A","goal",42,12,11,61.7739942000001,-57.8844107666666
666,"A","666.A","goal",43,13,12,41.7355322000001,-43.0844107666667
666,"A","666.A","goal",44,14,13,20.9663022000001,-81.3844107666666
666,"A","666.A","goal",45,15,14,28.6586092000001,-12.3844107666666
666,"A","666.A","goal",46,16,15,-12.4402918,27.1267002333334
666,"A","666.A","goal",47,17,16,-17.5117197999999,-190.620774766667
666,"A","666.A","goal",48,18,17,-11.8688628,-50.1844107666667
666,"A","666.A","goal",49,19,18,42.4278402000001,-110.384410766667
666,"A","666.A","goal",50,20,19,16.2739942000001,-20.6510777666666
666,"A","666.A","goal",51,21,20,4.48828020000008,-199.584410766667
666,"A","666.A","goal",52,22,21,45.5047632000001,-188.166228766667
666,"A","666.A","goal",53,23,22,28.9663022000001,-17.7844107666666
666,"A","666.A","goal",54,24,23,14.3509172,56.0155892333333
666,"A","666.A","goal",55,25,24,-12.0117197999999,-60.9844107666667
666,"A","666.A","goal",56,26,25,-5.22600579999994,-0.317743766666695
666,"A","666.A","goal",57,27,26,2.88937920000001,24.2378112333333
666,"A","666.A","goal",58,28,27,55.5816862,15.9044782333333
666,"A","666.A","goal",59,29,28,39.5816862,-18.2844107666666
666,"A","666.A","goal",60,30,29,35.3509172,21.7933672333334
666,"A","666.A","femalereceive",61,1,0,-33.5260057999999,-124.095521766667
